/home/datadons/.local/lib/python3.8/site-packages/gensim/similarities/__init__.py:15: UserWarning: The gensim.similarities.levenshtein submodule is disabled, because the optional Levenshtein package <https://pypi.org/project/python-Levenshtein/> is unavailable. Install Levenhstein (e.g. `pip install python-Levenshtein`) to suppress this warning.
  warnings.warn(msg)
Vector rep. of file: sets_wrapper/wrapper/withpattern/numba_.py 1 in  0.0 min and 0.7304115295410156 sec.
Vector rep. of file: sets_wrapper/wrapper/withpattern/support.py 1 in  0.0 min and 5.414202451705933 sec.
Vector rep. of file: sets_wrapper/wrapper/withpattern/Memoize.py 1 in  0.0 min and 0.39291834831237793 sec.
Vector rep. of file: sets_wrapper/wrapper/withpattern/nanops.py 1 in  0.0 min and 5.353698015213013 sec.
Vector rep. of file: sets_wrapper/wrapper/withpattern/clitoolbar.py 1 in  0.0 min and 0.12610387802124023 sec.
Vector rep. of file: sets_wrapper/wrapper/withpattern/testinframod.py 1 in  0.0 min and 0.13390612602233887 sec.
Vector rep. of file: sets_wrapper/wrapper/withpattern/delegation_pattern.py 1 in  0.0 min and 0.07477498054504395 sec.
Vector rep. of file: sets_wrapper/wrapper/withpattern/async_utils.py 1 in  0.0 min and 0.18960809707641602 sec.
Vector rep. of file: sets_wrapper/wrapper/withpattern/brew.py 1 in  0.0 min and 0.4295213222503662 sec.
Vector rep. of file: sets_wrapper/wrapper/withpattern/isoparser.py 1 in  0.0 min and 1.0378031730651855 sec.
Vector rep. of file: sets_wrapper/wrapper/withpattern/image.py 1 in  0.0 min and 0.6303842067718506 sec.
Vector rep. of file: sets_wrapper/wrapper/withpattern/threading.py 1 in  0.0 min and 0.09607267379760742 sec.
Vector rep. of file: sets_wrapper/wrapper/withpattern/flask.py 1 in  0.0 min and 0.09654021263122559 sec.
Vector rep. of file: sets_wrapper/wrapper/withpattern/pytest.py 1 in  0.0 min and 0.4298694133758545 sec.
Vector rep. of file: sets_wrapper/wrapper/withpattern/converters.py 1 in  0.0 min and 0.1722409725189209 sec.
Vector rep. of file: sets_wrapper/wrapper/withpattern/dropbox.py 1 in  0.0 min and 0.7447924613952637 sec.
Vector rep. of file: sets_wrapper/wrapper/withpattern/lru_cache.py 1 in  0.0 min and 0.5348081588745117 sec.
Vector rep. of file: sets_wrapper/wrapper/withpattern/deploy.py 1 in  0.0 min and 0.632037878036499 sec.
Vector rep. of file: sets_wrapper/wrapper/withpattern/option_helpers.py 1 in  0.0 min and 1.6507208347320557 sec.
